x1,x2,x3,y
4.836488908,-5.705894001,10.74258782,0
5.673095937,-5.075276036,4.306939572,0
3.526017674,-4.403242886,6.406685394,0
-6.874859805,-0.850573274,-1.399158473,1
4.856846144,-4.450848984,1.800524157,0
-4.988623631,0.46237145,-2.663630507,1
6.135313795,-2.090427212,5.276556113,0
3.673764341,-7.075802406,3.444328629,0
-5.854590739,1.166273488,15.61410187,1
5.420773338,-4.916115298,-3.298494363,0
-5.738756943,0.47418731,9.560170437,1
-5.804232645,0.80834912,0.470833214,1
5.091587761,-5.374416347,8.701274181,0
2.635298389,-5.316001511,17.52734557,0
-6.198187885,1.527544371,1.945749344,1
4.571438401,-6.255101233,2.832186764,0
2.675503044,-4.914964803,10.43893757,0
-5.209154452,1.310020737,5.904375999,1
-4.759660811,0.42819005,6.928123129,1
5.184621087,-4.966082285,6.245513578,0
3.124017194,-6.004882795,5.669321949,0
-5.70263971,1.169603114,1.144574175,1
-3.944105305,0.672295269,3.532586578,1
6.016497072,-4.112772071,15.0073502,0
-3.503559586,-0.998750381,2.062925086,1
1.806283362,-3.23748621,7.929413817,0
-6.219408138,1.347981958,1.588892969,1
4.908119718,-2.039069962,1.360607414,0
4.110418842,-3.099351362,3.086037557,0
2.993549844,-3.101384256,3.673519797,0
4.243655706,-5.603478761,3.036938683,0
4.397822831,-5.108368285,9.859032352,0
3.049847369,-3.993585977,5.941448105,0
-6.286402335,1.156510336,6.049078384,1
4.820090103,-2.522327119,0.287076962,0
3.59437295,-3.246098842,2.913613706,0
4.641648347,-1.678909374,3.703419016,0
-4.195672284,1.359060359,2.948776667,1
-6.203784702,1.099202625,5.738836317,1
3.485401752,-4.711564577,3.735984161,0
-5.283421444,-0.835680329,-5.363521381,1
3.196921725,-5.489736432,-1.602495628,0
-5.48759691,1.060437511,3.330006218,1
-5.15558671,0.415070041,0.147725913,1
-5.265951996,-2.204759626,1.429489304,1
-6.011891342,0.048237676,7.337117794,1
3.789314992,-5.138968197,10.91341258,0
4.308784324,-4.656389736,1.121706334,0
-6.482626,1.194237677,4.322482142,1
5.5903362,-3.469905115,7.201527153,0
5.079589255,-5.54456535,2.628590639,0
2.8448158,-5.640684846,9.407194276,0
-5.890650527,2.269164931,8.776058253,1
-5.369510099,2.48588465,5.675117408,1
-6.011926025,2.832265492,18.32291564,1
3.614625565,-5.363115702,6.52324268,0
4.666752288,-2.786481273,4.945006821,0
-3.854279961,0.75606299,8.390335202,1
-3.939307152,-0.068731076,-0.011392214,1
-5.006700034,2.570839833,-1.821183105,1
3.156674998,-3.482350633,4.603568753,0
3.959066942,-3.207897332,17.22868926,0
-3.262268829,1.714592312,9.986235491,1
-6.833919399,0.693820106,9.247929387,1
-5.817795387,1.417879624,-4.812685035,1
-4.797317491,0.127872441,7.376541661,1
4.267972763,-4.289043795,11.92399549,0
-6.460292397,-0.073747731,13.08119472,1
3.538483918,-3.703407439,7.464114529,0
-5.732264418,0.915444661,3.732772256,1
-4.909114763,0.495620822,9.408232868,1
1.502704469,-4.70612593,6.544365873,0
3.932229628,-3.58899059,5.431053683,0
-4.702021536,1.34976423,3.70389798,1
5.425027849,-3.207820631,7.290620506,0
-4.650629599,1.526035527,10.08759205,1
4.93343761,-3.891026902,1.919735339,0
-4.906422224,0.814215259,8.595529604,1
3.974873793,-4.510305362,8.554502794,0
-5.342223566,1.774510999,7.362134547,1
-5.059884967,2.498224751,-0.820228645,1
6.321748978,-3.864301141,0.937230146,0
-5.44265493,0.832331511,7.160214441,1
-5.328944136,1.730769456,4.018198526,1
3.25049756,-4.37192227,0.881707029,0
5.346682758,-3.469976766,4.95118639,0
-4.067617999,0.667359455,4.708099567,1
-4.450231875,1.305036238,6.022498895,1
-5.383743915,0.751898808,3.510214602,1
2.731082567,-4.077689227,-0.829974748,0
-6.011613057,-1.530759222,2.260718349,1
-5.2857786,0.996327375,8.857150324,1
2.157850607,-4.977090536,10.55288027,0
5.195319971,-5.143953703,5.03906655,0
-6.511962606,0.951174794,3.396544387,1
-5.036824289,-0.579114362,-0.340470997,1
3.091866989,-5.883176062,1.747818221,0
-5.263388818,0.900177608,7.665120983,1
-4.085713446,0.883119407,5.568790945,1
3.35078346,-2.625776764,10.92739505,0
